Name,Type,Nation,Epoch
RWD RWD-13,Other,Румыния,Interwar;
RWD RWD-14 Czapla,Other,Польша,Interwar;
RWD RWD-15,Other,Другие,Interwar;
RWD RWD-17,Other,Польша,Interwar;
PWS PWS-33 Wyzel,Other,Польша,Interwar;
Ryan M-1 M-2 B-1 B-5 B-7 Brougham,Other,Китай (Кантон),Interwar;
Ryan S-T ST-A PT-16 STM STM-2 PT-20 PT-21 PT-22 Sport-Trainer Special Recruit,Other,Нидерланды,Interwar;
Salmson D.6 Cri-Cri,Other,Франция,Interwar;
Schneider Grunau Baby,Other,Польша,Interwar;
Seversky BT-8,Other,США,Interwar;
Spartan 7W Executive,Other,Испания (республика),Interwar;
Stampe et Vertongen RSV-28,Other,Бельгия,Interwar;
Stampe et Vertongen SV-4,Other,Франция,Interwar;
Stampe et Vertongen SV-5,Other,Латвия,Interwar;
Stearman PT-13 PT-17 N2S Kaydet,Other,США,Interwar;
Stinson SR-5 7 8 10 L-12 AT-19 Reliant,Other,Австралия,Interwar;
Svetozar Vlajkovic St.Georg,Other,Другие,Interwar;
Tachikawa Ki-9 Spruce,Other,Япония,Interwar;
Tachikawa Ki-17 Cedar,Other,Япония,Interwar;
VEF I-12,Other,Латвия,Interwar;
Vickers Vixen Vivid Valparaiso Valiant Venture,Other,Португалия,Interwar;
VL E.30 Kotka,Other,Финляндия,Interwar;
VL Saaski II,Other,Финляндия,Interwar;
Waco S2HD UMF-3 WHD JHD UPF-7,Other,Уругвай,Interwar;
Weber Meindl van Nes A.VII (M7),Other,Эфиопия (Абиссиния),Interwar;
Weiss Manfred WM-16 WM-21 Budapest II Solyom,Other,Венгрия,Interwar;
Westland Wallace,Other,Другие,Interwar;
Westland Walrus,Other,Великобритания,Interwar;
Westland Wapiti,Other,Великобритания,Interwar;
Yokosuka K2Y,Other,Япония,Interwar;
Yokosuka K5Y Willow,Other,Япония,Interwar;
Бериев Бе-2 КОР-1,Sea,СССР/Россия,Interwar;
Михельсон и Никитин МУ-4,Sea,Другие,Interwar;
Никитин НВ-4,Sea,Другие,Interwar;
Туполев МДР-2 АНТ-8,Sea,СССР/Россия,Interwar;
Шавров Ш-5,Sea,Другие,Interwar;
Aichi Experimental Three Seat Reconnaissance Seaplane,Sea,Япония,Interwar;
Aichi AB-2,Sea,Япония,Interwar;
Aichi AB-3,Sea,Япония,Interwar;
Aichi AB-4,Sea,Япония,Interwar;
Aichi AB-6,Sea,Япония,Interwar;
Aichi E3A HD.56,Sea,Япония,Interwar;
Aichi E8A AB-7,Sea,Япония,Interwar;
Aichi E11A Laura,Sea,Япония,Interwar;
Aichi Mi-go (type 15-Ko),Sea,Япония,Interwar;
Blackburn RB.1 Iris,Sea,Великобритания,Interwar;
Blackburn T.3 Velos,Sea,Греция,Interwar;
Blackburn T.5 Ripon,Sea,Финляндия,Interwar;
Blohm und Voss Ha.139,Sea,DLH,Interwar;
Blohm und Voss Ha.140,Sea,Германия (нацисты),Interwar;
Breguet Br.521 522 530 Bizerte,Sea,Франция,Interwar;
CAMS 30,Sea,Польша,Interwar;
CAMS 37 371 372 376,Sea,Франция,Interwar;
CAMS 55,Sea,Франция,Interwar;
CRDA CANT Z.504,Sea,Италия (фашисты),Interwar;
Curtiss CT-1,Sea,США,Interwar;
Curtiss SOC Seagull,Sea,США,Interwar;
Dewoitine DH.730,Sea,Франция,Interwar;
Dornier Do.D,Sea,Югославия,Interwar;
Dornier Do.X,Sea,Другие,Interwar;
Dornier Do.15 Do.J Do.R Wal Super Wal,Sea,Югославия,Interwar;
Dornier Do.18,Sea,Германия (нацисты),Interwar;
Fairey III,Sea,Великобритания,Interwar;
Fairchild F-91 Baby Clipper,Sea,Великобритания,Interwar;
Fokker C.VII,Sea,Нидерланды,Interwar;
Fokker C.VIII,Sea,Нидерланды,Interwar;
Fokker C.XI,Sea,Нидерланды,Interwar;
Foochow Ning Nae 2,Sea,Китай (националисты),Interwar;
Grigorov 1,Sea,Болгария,Interwar;
Grumman J2F Duck,Sea,США,Interwar;
Hall PH,Sea,США,Interwar;
Hall XPTBH,Sea,США,Interwar;
Heinkel HD.25 HD.26 AB-1,Sea,Япония,Interwar;
Heinkel HD.28,Sea,Япония,Interwar;
Heinkel He.1 He.2 He.4,Sea,Латвия,Interwar;
Heinkel He.8,Sea,Дания,Interwar;
Heinkel He.42,Sea,Германия (нацисты),Interwar;
Heinkel He.59,Sea,Германия (нацисты),Interwar;
Heinkel He.60,Sea,Германия (нацисты),Interwar;
Heinkel He.114,Sea,Германия (нацисты),Interwar;
Ikarus SM,Sea,Югославия,Interwar;
IMAM Ro.43 Ro.44,Sea,Италия (фашисты),Interwar;
Kawanishi E5K,Sea,Япония,Interwar;
Kawanishi E7K Alf,Sea,Япония,Interwar;
Kawanishi E8K,Sea,Япония,Interwar;
Kawanishi K6K,Sea,Япония,Interwar;
Latecoere Late 298,Sea,Франция,Interwar;
Latham 43,Sea,Польша,Interwar;
Liore et Olivier LeO H.43,Sea,Франция,Interwar;
Liore et Olivier LeO H.135,Sea,Польша,Interwar;
Liore et Olivier LeO H.257 258,Sea,Франция,Interwar;
Loening OL-8,Sea,США,Interwar;
Loire 130,Sea,Франция,Interwar;
Macchi M.9,Sea,Польша,Interwar;
Macchi M.18,Sea,Испания (до гр.войны),Interwar;
Macchi M.39,Sea,Другие,Interwar;
Macchi M.41 M.71,Sea,Испания (националисты),Interwar;
Macchi MC.94,Sea,Ala Littoria,Interwar;
Macchi MC.72,Sea,Другие,Interwar;
Marcel Besson MB.410 MB.411,Sea,Франция,Interwar;
Marinens-Hoever MF.11,Sea,Норвегия,Interwar;
Marinens-Hoever MF.12,Sea,Норвегия,Interwar;
Mitsubishi F1M Pete,Sea,Япония,Interwar;
NAF PN PD-1,Sea,США,Interwar;
NAF PT-1 PT-2,Sea,США,Interwar;
Nakajima E2N,Sea,Япония,Interwar;
Nakajima E4N,Sea,Япония,Interwar;
Nakajima E8N Dave,Sea,Япония,Interwar;
Nihon K8Ni 12-Shi,Sea,Япония,Interwar;
Nikol A-2,Sea,Польша,Interwar;
Potez 452,Sea,Франция,Interwar;
PZL PZL-12 (PZL-H),Sea,Другие,Interwar;
RAS Getta,Sea,Румыния,Interwar;
Saunders-Roe A.27 London,Sea,Великобритания,Interwar;
Savoia Marchetti S.21,Sea,Другие,Interwar;
Savoia Marchetti S.55,Sea,Италия (фашисты),Interwar;
Savoia Marchetti S.62,Sea,Испания (республика),Interwar;
Savoia Marchetti SM.78,Sea,Италия (фашисты),Interwar;
Schreck-FBA FBA-17,Sea,Польша,Interwar;
Short S.19 Singapore,Sea,Великобритания,Interwar;
Short S.20 Mercury,Sea,Imperial Airways,Interwar;
Short S.21 Maia Mayo Composite,Sea,Другие,Interwar;
Short S.23 S.26 S.30 S.33 Empire,Sea,Imperial Airways,Interwar;
Sikorsky S-38 S-39 S-41 PS-1 PS-2 PS-3 C-6,Sea,Другие,Interwar;
Sikorsky S-40,Sea,PAA,Interwar;
Sikorsky S-43 JRS Baby Clipper,Sea,США,Interwar;
Supermarine Sea Lion II,Sea,Другие,Interwar;
Supermarine Sea Eagle,Sea,British Marine Air Navigation Co Ltd,Interwar;
Supermarine Stranraer,Sea,Великобритания,Interwar;
Vickers Type 54 Viking,Sea,Канада,Interwar;
Vickers Vancouver,Sea,Канада,Interwar;
Vickers Vedette,Sea,Канада,Interwar;
Watanabe E9W Slim,Sea,Япония,Interwar;
Yokosho 1-go,Sea,Япония,Interwar;
Yokosho Tatsu-go,Sea,Япония,Interwar;
Yokosuka E1Y,Sea,Япония,Interwar;
Yokosuka E5Y,Sea,Япония,Interwar;
Yokosuka E6Y,Sea,Япония,Interwar;
Yokosuka H5Y Cherry,Sea,Япония,Interwar;
Yokosuka Type 10 Reconnaissance Seaplane,Sea,Япония,Interwar;
Туполев АНТ-25 (РД),Special,Другие,Interwar;
Abrams P-1 Explorer,Special,Другие,Interwar;
Blohm und Voss BV.38 Flying Wing,Special,Германия (нацисты),Interwar;
Bristol Type 138,Special,Великобритания,Interwar;
Brown Racer B-1 B-2 Racer,Special,Другие,Interwar;
Caproni Stipa,Special,Италия (фашисты),Interwar;
Caudron C.460,Special,Другие,Interwar;
Caudron C.640 Typhon,Special,Другие,Interwar;
Church Midwing JC-1,Special,Другие,Interwar;
Curtiss CR-1 CR-2 CR-3 CR-4 R-6,Special,США,Interwar;
Curtiss R3C,Special,США,Interwar;
de Havilland DH.88 Comet,Special,Другие,Interwar;
DFS G.27 Kranich,Special,Китай (националисты),Interwar;
DFS Kranich II,Special,Германия (нацисты),Interwar;
Fiat C.29,Special,Другие,Interwar;
Gee Bee Model D E Y Sportster Senior Sportster,Special,Другие,Interwar;
Gee Bee R-1 R-2 R-6 Super Sportster,Special,Другие,Interwar;
Goodyear-Zeppelin ZRS-5 Macon,Special,США,Interwar;
Heath Baby Bullet,Special,Другие,Interwar;
Henschel Hs.122,Special,Германия (нацисты),Interwar;
Heinkel He.176,Special,Германия (нацисты),Interwar;
Horten Ho.V,Special,Германия (нацисты),Interwar;
Hughes H-1 Racer,Special,Другие,Interwar;
Kawasaki Navy Experimental Carrier Reconnaissance Aicraft,Special,Япония,Interwar;
Mitsubishi 2MR 2MRT1 2MR8,Special,Япония,Interwar;
Mitsubishi Ki-15 Babs Karigane,Special,Япония,Interwar;
Nobile N1 Norge,Special,Другие,Interwar;
Piaggio PC.7,Special,Другие,Interwar;
PZL PZL-22,Special,Другие,Interwar;
Royal Airship R100 R101,Special,Другие,Interwar;
Ryan NYP Spirit of St.Louis,Special,Другие,Interwar;
Sikorsky S-35,Special,Другие,Interwar;
Supermarine S.4 S.5 S.6,Special,Великобритания,Interwar;
Travel Air Type R Mystery Ship,Special,Другие,Interwar;
Vickers Transoceanic airship,Special,Другие,Interwar;
Камов А-7,Helicopter,СССР/Россия,Interwar;
Камов КАСКР-1 КАСКР-2,Helicopter,СССР/Россия,Interwar;
Cierva C.30 Avro 671 Rota,Helicopter,Великобритания,Interwar;
Focke-Wulf Fw.61,Helicopter,Германия (нацисты),Interwar;
Weir W-1 W-2 W-3 W-4,Helicopter,Другие,Interwar;
Беляев ОИ-2,Fighter,СССР/Россия,World War II;
Грушин Гр-1 ИДС,Fighter,СССР/Россия,World War II;
Лавочкин ЛаГГ-3,Fighter,СССР/Россия,World War II;
Лавочкин Ла-5,Fighter,СССР/Россия,World War II;
Лавочкин Ла-7,Fighter,СССР/Россия,World War II;
МиГ МиГ-1 МиГ-3,Fighter,СССР/Россия,World War II;
Петляков Пе-3,Fighter,СССР/Россия,World War II;
Поликарпов И-16,Fighter,СССР/Россия,World War II;
Поликарпов И-180 И-185,Fighter,СССР/Россия,World War II;
Поликарпов ИТП,Fighter,СССР/Россия,World War II;
Поликарпов ТИС,Fighter,СССР/Россия,World War II;
Поликарпов Малютка,Fighter,СССР/Россия,World War II;
Сухой Су-1 Су-3 (И-135),Fighter,Другие,World War II;
Сухой Су-5,Fighter,Другие,World War II;
Четвериков ППИ (Че-1),Fighter,СССР/Россия,World War II;
Яковлев Як-1,Fighter,СССР/Россия,World War II;
Яковлев Як-3,Fighter,СССР/Россия,World War II;
Яковлев Як-7,Fighter,СССР/Россия,World War II;
Яковлев Як-9,Fighter,СССР/Россия,World War II;
Aichi S1A Denko,Fighter,Япония,World War II;
Ambrosini SAI.207,Fighter,Италия (фашисты),World War II;
Ambrosini SAI.403 Dardo,Fighter,Германия (нацисты),World War II;
Arado Ar E.381 II,Fighter,Германия (нацисты),World War II;
l'Arsenal VG-30 32 33 35 36 39,Fighter,Франция,World War II;
Avia B.35 B.135,Fighter,Болгария,World War II;
Avia B.534,Fighter,Словакия,World War II;
Aviotehase PN-3,Fighter,Эстония,World War II;
Bachem Ba.349 Natter,Fighter,Германия (нацисты),World War II;
Bell FM-1 Airacuda,Fighter,США,World War II;
Bell P-39 Airacobra XFL-1 Airabonita,Fighter,СССР/Россия,World War II;
Bell P-59 Airacomet,Fighter,США,World War II;
Bell P-63 Kingcobra,Fighter,Франция,World War II;
Bell XP-77,Fighter,США,World War II;
Blackburn B-25 Roc,Fighter,Великобритания,World War II;
Bloch MB.151 152,Fighter,Франция,World War II;
Bloch MB.155 157,Fighter,Германия (нацисты),World War II;
Blohm und Voss BV.155,Fighter,Германия (нацисты),World War II;
Blohm und Voss BV P.170,Fighter,Германия (нацисты),World War II;
Blohm und Voss BV P.175 Bordjager,Fighter,Германия (нацисты),World War II;
Blohm und Voss BV P.179,Fighter,Германия (нацисты),World War II;
Blohm und Voss BV P.208,Fighter,Германия (нацисты),World War II;
Blohm und Voss BV P.209,Fighter,Германия (нацисты),World War II;
Blohm und Voss BV P.210,Fighter,Германия (нацисты),World War II;
Blohm und Voss BV P.212,Fighter,Германия (нацисты),World War II;
Blohm und Voss BV P.213 Miniaturjager,Fighter,Германия (нацисты),World War II;
Boulton & Paul P.82 Defiant,Fighter,Великобритания,World War II;
Brewster B-239 339 F2A Buffalo,Fighter,Финляндия,World War II;
Caproni F.4 F.5 F.6 F.7,Fighter,Италия (фашисты),World War II;
Chance Vought F4U Corsair,Fighter,США,World War II;
Commonwealth CA-12 CA-13 Boomerang,Fighter,Австралия,World War II;
Curtiss F15C,Fighter,США,World War II;
Curtiss P-36 Hawk Hawk 75,Fighter,Франция,World War II;
Curtiss P-40 Warhawk Kittyhawk Tomahawk,Fighter,США,World War II;
Curtiss XP-42,Fighter,США,World War II;
Curtiss XP-46,Fighter,США,World War II;
Curtiss XP-60,Fighter,США,World War II;
Curtiss XP-62,Fighter,США,World War II;
Curtiss XP-71,Fighter,Великобритания,World War II;
Curtiss-Wright P-37,Fighter,США,World War II;
Curtiss-Wright CW-21 22 23 SNC-1 Falcon Demon,Fighter,США,World War II;
Dewoitine D.520 HD.780,Fighter,Франция,World War II;
DoFlug D-3802 D-3803,Fighter,Швейцария,World War II;
Dornier Do.335 Pfeil,Fighter,Германия (нацисты),World War II;
Fairey Firefly (второй),Fighter,Великобритания,World War II;
Fairey Fulmar,Fighter,Великобритания,World War II;
FFVS J.22,Fighter,Швеция,World War II;
Fiat CR.42 Falco,Fighter,Италия (фашисты),World War II;
Fiat G.50 Freccia,Fighter,Италия (фашисты),World War II;
Fiat G.55 G.56 G.59 Centauro,Fighter,Италия (Сало),World War II;
Fischer P-75 Eagle,Fighter,США,World War II;
Fokker D.XXI,Fighter,Финляндия,World War II;
Fokker D.XXIII,Fighter,Нидерланды,World War II;
Fokker G.I Faucher,Fighter,Нидерланды,World War II;
Focke-Wulf Fw.187 Falke,Fighter,Германия (нацисты),World War II;
Focke-Wulf Fw.190A S Wurger,Fighter,Германия (нацисты),World War II;
Focke-Wulf Fw.190F G,Fighter,Германия (нацисты),World War II;
Focke-Wulf Fw.190D Dora,Fighter,Германия (нацисты),World War II;
Focke-Wulf Project VII Flitzer,Fighter,Германия (нацисты),World War II;
Focke-Wulf Super Lorin,Fighter,Германия (нацисты),World War II;
Focke-Wulf Ta.152,Fighter,Германия (нацисты),World War II;
Focke-Wulf Ta.154 Moskito,Fighter,Германия (нацисты),World War II;
Focke-Wulf Ta.183 Huckebein,Fighter,Германия (нацисты),World War II;
Focke-Wulf Triebflugeljager,Fighter,Германия (нацисты),World War II;
Gotha Go.229 Ho.IX,Fighter,Германия (нацисты),World War II;
Gotha Go P.60A,Fighter,Германия (нацисты),World War II;
Grumman F4F Wildcat,Fighter,США,World War II;
Grumman F6F Hellcat,Fighter,США,World War II;
Grumman XF5F XP-50 Skyrocket,Fighter,США,World War II;
Hawker Hurricane Sea Hurricane,Fighter,Великобритания,World War II;
Hawker Tempest,Fighter,Великобритания,World War II;
Hawker Typhoon Tornado,Fighter,Великобритания,World War II;
Heinkel He.112,Fighter,Румыния,World War II;
Heinkel He.162 Salamander,Fighter,Германия (нацисты),World War II;
Heinkel He.219 Uhu,Fighter,Германия (нацисты),World War II;
Heinkel He.280,Fighter,Германия (нацисты),World War II;
Heinkel P.1077 Julia,Fighter,Германия (нацисты),World War II;
Heinkel P.1078A,Fighter,Германия (нацисты),World War II;
Heinkel P.1078B,Fighter,Германия (нацисты),World War II;
IAR IAR-80 IAR-81,Fighter,Румыния,World War II;
IMAM Ro.57,Fighter,Италия (фашисты),World War II;
Kawanishi N1K Kyofu Shiden,Fighter,Япония,World War II;
Kawasaki Ki-45 Toryu Nick,Fighter,Япония,World War II;
Kawasaki Ki-61 Hien Tony,Fighter,Япония,World War II;
Kawasaki Ki-64,Fighter,Япония,World War II;
Kawasaki Ki-88,Fighter,Япония,World War II;
Kawasaki Ki-96,Fighter,Япония,World War II;
Kawasaki Ki-100,Fighter,Япония,World War II;
Kawasaki Ki-102 Ki-108 Randy,Fighter,Япония,World War II;
Kayaba Katsuodori,Fighter,Япония,World War II;
Kyushu J7W Shinden,Fighter,Япония,World War II;
Latecoere Late 299,Fighter,Германия (нацисты),World War II;
Lockheed P-38 Lightning,Fighter,США,World War II;
Lockheed XP-58 Chain Lightning,Fighter,США,World War II;
Macchi MC.200 Saetta,Fighter,Италия (фашисты),World War II;
Macchi MC.202 Folgore,Fighter,Италия (фашисты),World War II;
Macchi MC.205 Veltro,Fighter,Италия (фашисты),World War II;
Martin-Baker MB.3 MB.5,Fighter,Великобритания,World War II;
Messerschmitt Bf.109B C D Bertha Caesar Dora,Fighter,Германия (нацисты),World War II;
Messerschmitt Bf.109E Emil,Fighter,Германия (нацисты),World War II;
Messerschmitt Bf.109F Fritz Friedrich,Fighter,Германия (нацисты),World War II;
Messerschmitt Bf.109G Gustav,Fighter,Германия (нацисты),World War II;
Messerschmitt Bf.109K Kurfurst,Fighter,Германия (нацисты),World War II;
Messerschmitt Bf.109T Toni,Fighter,Германия (нацисты),World War II;
Messerschmitt Bf.110,Fighter,Германия (нацисты),World War II;
Messerschmitt Me.163 Me.263 Komet J8M Shusui,Fighter,Германия (нацисты),World War II;
Messerschmitt Me.209,Fighter,Германия (нацисты),World War II;
Messerschmitt Me.210 Me.410 Hornisse,Fighter,Германия (нацисты),World War II;
Messerschmitt Me.262 Schwalbe Sturmvogel Avia S.92,Fighter,Германия (нацисты),World War II;
Messerschmitt Me.309,Fighter,Германия (нацисты),World War II;
Messerschmitt Me.329,Fighter,Германия (нацисты),World War II;
Messerschmitt P.1101,Fighter,Германия (нацисты),World War II;
Messerschmitt P.1106,Fighter,Германия (нацисты),World War II;
Messerschmitt P.1112,Fighter,Германия (нацисты),World War II;
Miles M.20 Fighter,Fighter,Великобритания,World War II;
Mitsubishi A6M Reisen Zeke Zero Rufe,Fighter,Япония,World War II;
Mitsubishi A7M Reppu,Fighter,Япония,World War II;
Mitsubishi J2M Raiden,Fighter,Япония,World War II;
Mitsubishi J4M Senden,Fighter,Япония,World War II;
Mitsubishi Ki-73,Fighter,Япония,World War II;
Mitsubishi Ki-83,Fighter,Япония,World War II;
Morane-Saulnier MS.405 406 410,Fighter,Франция,World War II;
Nakajima J1N Gekko Irving,Fighter,Япония,World War II;
Nakajima J5N Tenrai,Fighter,Япония,World War II;
Nakajima Ki-43 Hayabusa Oscar,Fighter,Япония,World War II;
Nakajima Ki-44 Shoki Tojo,Fighter,Япония,World War II;
Nakajima Ki-84 Hayate Frank,Fighter,Япония,World War II;
Nakajima Ki-87,Fighter,Япония,World War II;
Nakajima Ki-201 Karyu,Fighter,Япония,World War II;
North American P-51 Mustang F-51 Cavalier,Fighter,США,World War II;
North American P-64 NA-50,Fighter,Перу,World War II;
Northrop P-61 Black Widow,Fighter,США,World War II;
Northrop XP-56 Black Bullet,Fighter,США,World War II;
Northrop XP-79 Flying Ram,Fighter,США,World War II;
Potez 63 630 631 633 637,Fighter,Франция,World War II;
Potez 670 671,Fighter,Франция,World War II;
PZL P.38 Wilk P.48 Lampart P.54 Rys,Fighter,Польша,World War II;
PZL P.39 P.45 Sokol,Fighter,Польша,World War II;
PZL P.50 Jastrzab,Fighter,Польша,World War II;
PZL P.62,Fighter,Польша,World War II;
Reggiane Re.2000 Falco Heja I II,Fighter,Венгрия,World War II;
Reggiane Re.2001 Ariete I,Fighter,Италия (фашисты),World War II;
Reggiane Re.2002 Ariete II,Fighter,Германия (нацисты),World War II;
Reggiane Re.2005 Sagittario,Fighter,Италия (фашисты),World War II;
Renard R.36 R.37 R.38 R.40,Fighter,Другие,World War II;
Republic P-43 P-44 Lancer Rocket,Fighter,США,World War II;
Republic P-47 Thunderbolt,Fighter,США,World War II;
Republic P-72,Fighter,США,World War II;
Rogozarski IK-3,Fighter,Югославия,World War II;
RWD RWD-25,Fighter,Польша,World War II;
Ryan FR-1 Fireball,Fighter,США,World War II;
SAAB J.21 A.21,Fighter,Швеция,World War II;
Sabca S.47 Ca.335 Maestrale,Fighter,Бельгия,World War II;
Savoia Marchetti SM.91 SM.92,Fighter,Германия (нацисты),World War II;
SNCAO CAO.200,Fighter,Франция,World War II;
Sombold So.344,Fighter,Германия (нацисты),World War II;
Sud-Est SE.100 101 102 105,Fighter,Франция,World War II;
Supermarine Spitfire,Fighter,Великобритания,World War II;
Supermarine Seafire,Fighter,Великобритания,World War II;
Supermarine Spitful Seafang,Fighter,Великобритания,World War II;
VEF I-16,Fighter,Латвия,World War II;
VEF I-19,Fighter,Латвия,World War II;
VL Myrsky Myrsky II,Fighter,Финляндия,World War II;
VL Pyorremyrsky Puuska,Fighter,Финляндия,World War II;
Vultee P-48 P-66 Vanguard,Fighter,Китай (националисты),World War II;
Vultee XP-54,Fighter,США,World War II;
Weiss Manfred WM-23 Ezust Nyil,Fighter,Венгрия,World War II;
Weiss Manfred XNI-2 Kameleon,Fighter,Венгрия,World War II;
Westland Welkin,Fighter,Великобритания,World War II;
Westland Whirlwind,Fighter,Великобритания,World War II;
Zeppelin Rammer,Fighter,Германия (нацисты),World War II;
Архангельский Ар-2,Bomber,СССР/Россия,World War II;
Беляев ДБ-ЛК,Bomber,США,World War II;
Ермолаев Ер-2,Bomber,СССР/Россия,World War II;
Ильюшин Ил-4 ДБ-3,Bomber,СССР/Россия,World War II;
Ильюшин Ил-6 ЦКБ-60,Bomber,СССР/Россия,World War II;
Петляков Пе-2,Bomber,СССР/Россия,World War II;
Петляков Пе-8 (ТБ-7),Bomber,СССР/Россия,World War II;
Поликарпов Иванов,Bomber,СССР/Россия,World War II;
Поликарпов НБ,Bomber,СССР/Россия,World War II;
Сухой Су-2,Bomber,СССР/Россия,World War II;
Туполев Ту-1 Ту-2 Ту-6 Ту-8 Ту-10,Bomber,СССР/Россия,World War II;
Яковлев Як-2 Як-4 ББ-22,Bomber,СССР/Россия,World War II;
Aichi B7A Ryusei,Bomber,Япония,World War II;
Aichi D3A Val,Bomber,Япония,World War II;
Amiot 350 351 354,Bomber,Франция,World War II;
Arado Ar.234 Blitz,Bomber,Германия (нацисты),World War II;
Armstrong Whitworth AW.38 Whitley,Bomber,Великобритания,World War II;
Armstrong Whitworth AW.41 Albemarle,Bomber,Великобритания,World War II;
Avro 679 Manchester,Bomber,Великобритания,World War II;
Avro 683 Lancaster,Bomber,Великобритания,World War II;
Blackburn B-26 Botha,Bomber,Великобритания,World War II;
Bloch MB.174,Bomber,Франция,World War II;
Boeing B-17 Flying Fortress,Bomber,США,World War II;
Boeing B-29 Superfortress,Bomber,США,World War II;
Breda Ba.88 Lince,Bomber,Италия (фашисты),World War II;
Breda Ba.201,Bomber,Италия (фашисты),World War II;
Breguet Br.690 691 693 695,Bomber,Франция,World War II;
Brewster SB2A Buccaneer Bermuda,Bomber,Великобритания,World War II;
Bristol Beaufighter,Bomber,Великобритания,World War II;
Bristol Beaufort,Bomber,Великобритания,World War II;
Bristol Blenheim Bisley Bolingbroke,Bomber,Великобритания,World War II;
Bristol Bombay,Bomber,Великобритания,World War II;
Chance Vought TBY-1 TBY-2 Sea Wolf,Bomber,США,World War II;
Caproni Ca.310 311 312 313 314 Libeccio,Bomber,Италия (фашисты),World War II;
Consolidated B-24 Liberator PB4Y Privateer,Bomber,США,World War II;
Consolidated B-32 Dominator,Bomber,США,World War II;
CRDA CANT Z.1007 Alcione,Bomber,Италия (фашисты),World War II;
CRDA CANT Z.1018 Leone,Bomber,Италия (фашисты),World War II;
Curtiss SB2C Helldiver A-25 Shrike,Bomber,США,World War II;
DAR DAR-10,Bomber,Болгария,World War II;
de Havilland DH.98 Mosquito,Bomber,Великобритания,World War II;
Dornier Do.17 Do.215,Bomber,Германия (нацисты),World War II;
Dornier Do.217 Do.317,Bomber,Германия (нацисты),World War II;
Douglas B-23 Dragon,Bomber,США,World War II;
Douglas BT2D Destroyer,Bomber,США,World War II;
Douglas SBD Dauntless A-24 Banshee,Bomber,США,World War II;
Douglas TBD Devastator,Bomber,США,World War II;
Douglas TB2D Skypirate,Bomber,США,World War II;
Fairey Albacore,Bomber,Великобритания,World War II;
Fairey Battle,Bomber,Великобритания,World War II;
Fairey Barracuda,Bomber,Великобритания,World War II;
Fairey Swordfish,Bomber,Великобритания,World War II;
Fiat BR.20 Cicogna,Bomber,Италия (фашисты),World War II;
Focke-Wulf Fw.191,Bomber,Германия (нацисты),World War II;
Focke-Wulf Fw.200 Condor,Bomber,Германия (нацисты),World War II;
Fokker T.IX,Bomber,Нидерланды,World War II;
Grumman TBF TBM Avenger,Bomber,США,World War II;
Handley Page HP.52 Hampden HP.53 Hereford,Bomber,Великобритания,World War II;
Handley Page HP.54 Harrow,Bomber,Великобритания,World War II;
Handley Page HP.56 Halifax,Bomber,Великобритания,World War II;
Heinkel He.111,Bomber,Германия (нацисты),World War II;
Heinkel He.177 He.274 Greif,Bomber,Германия (нацисты),World War II;
Henschel Hs.132,Bomber,Германия (нацисты),World War II;
Horten Ho.XVIII,Bomber,Германия (нацисты),World War II;
Hutter Hu.136 Stubo 1,Bomber,Германия (нацисты),World War II;
Junkers Ju.87 Stuka,Bomber,Германия (нацисты),World War II;
Junkers Ju.88,Bomber,Германия (нацисты),World War II;
Junkers Ju.90 Ju.290 Ju.390,Bomber,Германия (нацисты),World War II;
Junkers Ju.187,Bomber,Германия (нацисты),World War II;
Junkers Ju.188,Bomber,Германия (нацисты),World War II;
Junkers Ju.287,Bomber,СССР/Россия,World War II;
Junkers Ju.288,Bomber,Германия (нацисты),World War II;
Ikarus Orkan,Bomber,Югославия,World War II;
Kaiser-Fleetwings XBTK,Bomber,США,World War II;
Kawasaki Ki-48 Sokei Lily,Bomber,Япония,World War II;
Kawasaki Ki-91,Bomber,Япония,World War II;
Kyushu Q1W Tokai,Bomber,Япония,World War II;
Letov S.50,Bomber,Германия (нацисты),World War II;
Liore et Olivier LeO 45 451,Bomber,Франция,World War II;
Lockheed A-28 A-29 Hudson,Bomber,Великобритания,World War II;
Lockheed PV PV-2 B-34 Ventura Harpoon,Bomber,США,World War II;
Loire-Nieuport LN.41 42 411,Bomber,Франция,World War II;
Martin Type 167 A-22 Maryland,Bomber,Франция (Виши),World War II;
Martin Type 187 Baltimore,Bomber,Великобритания,World War II;
Martin B-26 Marauder,Bomber,США,World War II;
Messerschmitt Me.264 Amerika,Bomber,Германия (нацисты),World War II;
Messerschmitt Me.328,Bomber,Германия (нацисты),World War II;
Mitsubishi G3M Nell,Bomber,Япония,World War II;
Mitsubishi G4M G6M Betty,Bomber,Япония,World War II;
Mitsubishi Ki-30 Nagoya Ann,Bomber,Япония,World War II;
Mitsubishi Ki-67 Ki-109 Ki-167 Hiryu Peggy,Bomber,Япония,World War II;
Nakajima B5N Kate,Bomber,Япония,World War II;
Nakajima B6N Tenzan,Bomber,Япония,World War II;
Nakajima G5N Shinzan,Bomber,Япония,World War II;
Nakajima G8N Rita,Bomber,Япония,World War II;
Nakajima Ki-49 Donryu Helen,Bomber,Япония,World War II;
Nakajima Kikka,Bomber,Япония,World War II;
North American B-25 Mitchell,Bomber,США,World War II;
